4.402985075,5,3.68,4.6,4.6,1,4.2,3.681318681,1.766467066,1,2.333333333,1,5,3,4,5,3,5,2,1
3.507462687,2.777777778,2.68,3,4.4,4,4.2,2.802197802,1.407185629,2.882352941,1,1,1,3,3,3.507462687,3,2,4.4,1
5,5,1.68,4,4,2,3,5,2.604790419,5,3.4,2.6,5,5,5,3.208955224,4.2,2,4,1.8
2.970149254,4.746031746,3.68,5,4.84,5,5,3.901098901,5,5,5,5,3.64,2,5,5,5,2.36,3,5
4.104477612,4.365079365,2.68,3,4,4.4,3,2.802197802,2.604790419,3.823529412,5,1,3.8,3.8,4.2,2.014925373,2.6,3,4.6,2.6
1.059701493,2.46031746,1,1,1,2.32,2.36,2.450549451,1.023952096,1.894117647,3.56,5,5,4,3.68,2.850746269,1,3.68,1,1.8
5,2.904761905,5,5,4.84,2.32,5,3.901098901,2.604790419,1.847058824,5,5,5,1,5,5,5,2.36,3.68,5
5,1.825396825,1.68,1,1,5,1,3.901098901,1.407185629,5,2.333333333,5,1,3,1,2.014925373,3.4,1,1,5
3.208955224,1,3.68,1,3.2,3,2.36,1,1,4.294117647,3.933333333,1.8,4.2,3.4,3.8,2.611940299,4.2,3,4.6,3.4
1,4.238095238,2.32,5,5,5,5,3.901098901,1.790419162,3.4,5,5,3.64,5,2.32,1,3.52,1,3,5
